id,title,writer,genres,page_num,pub_year,rating,isbn,image_url
262709,THE FIRST WORLD WAR,JOHN KEEGAN,SCIENCEFICTION,131,1998,5,810983559,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1403194704M/8914.JPG
262708,CINDERELLA ATE MY DAUGHTER: DISPATCHES FROM THE FRONTLINES OF THE NEW GIRLIE-GIRL CULTURE,PEGGY ORENSTEIN,CLASSIC,107,2011,5,224079948,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1279214118M/8565083.JPG
262707,THE MAURITIUS COMMAND,PATRICK O'BRIAN,PHILOSOPHY,160,1977,5,575113294,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1455373531M/77431.JPG
262706,"BAYOU MOON (THE EDGE, #2)",ILONA ANDREWS,BIOGRAPHY,119,2010,5,385425139,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1307445460M/7130616.JPG
262705,"THE EVERAFTER WAR (THE SISTERS GRIMM, #7)","MICHAEL BUCKLEY, PETER FERGUSON",SCIENCEFICTION,102,2009,5,140143912,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1388278230M/4769651.JPG
262704,THE TIME TRAVELLER'S GUIDE TO MEDIEVAL ENGLAND: A HANDBOOK FOR VISITORS TO THE FOURTEENTH CENTURY,IAN MORTIMER,SCIENCEFICTION,127,2008,5,216614,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328167619M/4936457.JPG
262703,"THE RED KNIGHT (THE TRAITOR SON CYCLE, #1)",MILES  CAMERON,BIOGRAPHY,126,2012,5,140255087,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1348037761M/13616278.JPG
262702,THE FAMISHED ROAD,BEN OKRI,YOUNGADULT,137,1991,5,127531,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1344396715M/101094.JPG
262701,THE MAMBO KINGS PLAY SONGS OF LOVE,OSCAR HIJUELOS,TRAVEL,140,1989,5,385344422,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1330072994M/294081.JPG
262700,"OUT OF THE DARK (THE GREY WOLVES, #4)",QUINN LOFTIS,CLASSIC,109,2012,5,739455834,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1334785691M/13489518.JPG
262699,THE SNOW LEOPARD,PETER MATTHIESSEN,PHILOSOPHY,139,1978,5,679750150,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1309211772M/764165.JPG
262698,"BLUE EXORCIST, TOME 2",KAZUE KATO,SCIENCEFICTION,116,2009,5,778325806,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1278403940M/8539798.JPG
262697,"FEVERBORN (FEVER, #8)",KAREN MARIE MONING,PHILOSOPHY,101,2016,5,553153382,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1435195536M/12444298.JPG
262696,"THE TWELFTH CARD (LINCOLN RHYME, #6)",JEFFERY DEAVER,SCIENCEFICTION,158,2005,5,609805797,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1328407138M/106312.JPG
262695,THE SAILOR WHO FELL FROM GRACE WITH THE SEA,"YUKIO MISHIMA, JOHN NATHAN",CRIME,170,1963,5,99282968,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327629352M/162332.JPG
262694,"SEA GLASS (GLASS, #2)",MARIA V. SNYDER,SCIENCEFICTION,124,2009,5,216274,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327132670M/6351939.JPG
262693,"ANASTASIA KRUPNIK (ANASTASIA KRUPNIK, #1)",LOIS LOWRY,SCIENCEFICTION,138,1978,5,676979564,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1476942137M/116494.JPG
262692,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK: A PRACTICAL GUIDE FROM THE COUNTRY'S FOREMOST RELATIONSHIP EXPERT,"JOHN M. GOTTMAN, NAN SILVER",SCIENCE,152,1999,5,60182989,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320521960M/849380.JPG
262691,BAGOMBO SNUFF BOX,KURT VONNEGUT JR.,CLASSIC,128,1999,5,113425,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1327353727M/4984.JPG
262690,"THE TYCOON'S REVENGE (BABY FOR THE BILLIONAIRE, #1)",MELODY ANNE,SCIENCEFICTION,108,2011,5,216138,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1368675679M/12602078.JPG
262689,THE VIRGIN CURE,AMI MCKAY,CRIME,124,2011,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1320443329M/6131786.JPG
262688,MISTER B. GONE,CLIVE BARKER,SCIENCE,134,2007,5,802734375,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1429998358M/1011632.JPG
262687,"THE MIME ORDER (THE BONE SEASON, #2)",SAMANTHA SHANNON,TRAVEL,136,2015,5,451474473,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1421696237M/17901125.JPG
262686,"PROPER GAUGE (WOOL, #2)",HUGH HOWEY,CLASSIC,110,2011,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1323761382M/13178410.JPG
262685,"ASTONISHING X-MEN, VOLUME 2: DANGEROUS","JOSS WHEDON, JOHN CASSADAY",BIOGRAPHY,115,2005,5,679800034,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1500464823M/31975.JPG
262684,"WILD CARDS (WILD CARDS, #1)",SIMONE ELKELES,SCIENCEFICTION,125,2013,5,26130,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1420836321M/13065327.JPG
262683,"MARKED IN FLESH (THE OTHERS, #4)",ANNE BISHOP,TRAVEL,114,2016,5,62320521,HTTPS://IMAGES.GR-ASSETS.COM/BOOKS/1438874868M/22062202.JPG
